2026-06-09 18:14:18.929 [info] [McpGatewayService] Initialized
2026-06-09 18:15:10.949 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 20:31:10.842 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 21:27:10.067 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 21:29:27.014 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 21:31:29.050 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 21:38:03.345 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 22:16:06.334 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 22:34:02.297 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 22:34:12.375 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 22:34:20.698 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 22:34:25.364 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 22:34:33.254 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 22:34:49.305 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 22:48:21.845 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 23:05:27.556 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 23:35:00.794 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 23:35:36.988 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-10 02:36:31.772 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-10 16:22:35.462 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
